
------------------------------------------------------------------------------
Elevation report for the watershed      31 May 2020 10.33

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 2045
     Mean elevation: 1894.10
 Standard deviation: 60.65

              Elevation          % area up to elevation    % area of watershed
                1794                     6.33                     1.03
                1795                     7.73                     1.40
                1796                     8.84                     1.10
                1797                     9.65                     0.81
                1798                    10.24                     0.59
                1799                    10.90                     0.66
                1800                    11.34                     0.44
                1801                    11.78                     0.44
                1802                    12.00                     0.22
                1803                    12.30                     0.29
                1804                    12.81                     0.52
                1805                    13.40                     0.59
                1806                    13.92                     0.52
                1807                    14.36                     0.44
                1808                    14.95                     0.59
                1809                    15.91                     0.96
                1810                    16.57                     0.66
                1811                    17.16                     0.59
                1812                    18.26                     1.10
                1813                    18.78                     0.52
                1814                    19.15                     0.37
                1815                    19.81                     0.66
                1816                    20.62                     0.81
                1817                    21.50                     0.88
                1818                    22.39                     0.88
                1819                    22.90                     0.52
