 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           min           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2001       3      30  aqu30                     0.000          5.000        250.018         25.822          1.291         24.529         28.113          0.000          0.000          0.000          1.795          0.000          0.000          0.146          0.000          0.000          0.000
   365    12    31  2001       4      40  aqu40                     0.000          4.999        250.060         31.154          1.558         29.553         33.529          0.000          0.000          0.000          2.201          0.000          0.000          0.209          0.000          0.000          0.000
   365    12    31  2001       5      50  aqu50                     0.000          4.280        285.988         41.155          2.058         40.151         42.832          0.000          0.000          0.000          2.799          0.000          0.000          0.308          0.000          0.000          0.000
   365    12    31  2001       6      60  aqu60                     0.000          5.000        249.991         18.761          0.938         17.856         21.157          0.000          0.000          0.000          1.359          0.000          0.000          0.080          0.000          0.000          0.000
   365    12    31  2001       7      70  aqu70                     0.000          3.867        306.669         42.252          2.113         40.151         36.321          0.000          0.000          0.000          2.216          0.000          0.000          0.250          0.000          0.000          0.000
   365    12    31  2001       8      80  aqu80                     0.000          5.000        250.008         23.677          1.184         22.479         24.130          0.000          0.000          0.000          1.558          0.000          0.000          0.115          0.000          0.000          0.000
   365    12    31  2001       9      90  aqu90                     0.000          5.000        250.014         25.508          1.275         24.266         25.806          0.000          0.000          0.000          1.561          0.000          0.000          0.132          0.000          0.000          0.000
   365    12    31  2001      10       7  aqu_deep7                 0.000         19.534       2413.988          1.408          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002       1      10  aqu10                     0.000          4.999        250.031         31.892          1.595         30.291         39.850          0.000          0.000          0.000          1.885          0.000          0.000          0.254          0.000          0.000          0.000
   365    12    31  2002       2      20  aqu20                     0.000          5.000        250.008         24.325          1.216         23.141         32.275          0.000          0.000          0.000          1.481          0.000          0.000          0.157          0.000          0.000          0.000
   365    12    31  2002       3      30  aqu30                     0.000          5.000        250.001         21.540          1.077         20.523         29.595          0.000          0.000          0.000          1.377          0.000          0.000          0.128          0.000          0.000          0.000
   365    12    31  2002       4      40  aqu40                     0.000          5.000        250.016         27.678          1.384         26.281         35.304          0.000          0.000          0.000          1.638          0.000          0.000          0.195          0.000          0.000          0.000
   365    12    31  2002       5      50  aqu50                     0.000          4.309        284.553         39.780          1.989         39.634         45.122          0.000          0.000          0.000          2.408          0.000          0.000          0.315          0.000          0.000          0.000
   365    12    31  2002       6      60  aqu60                     0.000          5.000        249.979         12.538          0.627         11.953         22.276          0.000          0.000          0.000          0.847          0.000          0.000          0.056          0.000          0.000          0.000
   365    12    31  2002       7      70  aqu70                     0.000          3.871        306.467         41.291          2.065         39.634         38.165          0.000          0.000          0.000          1.977          0.000          0.000          0.257          0.000          0.000          0.000
   365    12    31  2002       8      80  aqu80                     0.000          5.000        249.994         18.475          0.924         17.625         25.429          0.000          0.000          0.000          1.172          0.000          0.000          0.094          0.000          0.000          0.000
   365    12    31  2002       9      90  aqu90                     0.000          5.000        250.000         21.480          1.074         20.386         27.110          0.000          0.000          0.000          1.294          0.000          0.000          0.117          0.000          0.000          0.000
   365    12    31  2002      10       7  aqu_deep7                 0.000         19.489       2415.330          1.208          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2003       1      10  aqu10                     0.000          5.000        250.020         28.460          1.423         27.073         41.275          0.000          0.000          0.000          1.578          0.000          0.000          0.235          0.000          0.000          0.000
   365    12    31  2003       2      20  aqu20                     0.000          5.000        249.996         19.788          0.989         18.844         33.473          0.000          0.000          0.000          1.287          0.000          0.000          0.133          0.000          0.000          0.000
   365    12    31  2003       3      30  aqu30                     0.000          5.000        249.990         16.826          0.841         15.975         30.776          0.000          0.000          0.000          1.225          0.000          0.000          0.104          0.000          0.000          0.000
   365    12    31  2003       4      40  aqu40                     0.000          5.000        250.005         23.755          1.188         22.586         36.603          0.000          0.000          0.000          1.436          0.000          0.000          0.174          0.000          0.000          0.000
   365    12    31  2003       5      50  aqu50                     0.000          4.371        281.456         37.742          1.887         39.947         46.987          0.000          0.000          0.000          1.888          0.000          0.000          0.315          0.000          0.000          0.000
