 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991      56      56  cha56                0.6786E+01     0.0000E+00     0.6786E+01     0.3570E+01     0.2144E-04     0.7487E+03     0.1072E-04     0.1072E-04    -0.7243E+03     0.7243E+03     0.0000E+00     0.2439E+02     0.2579E+01     0.6514E+00     0.1703E-01     0.1999E+00     0.0000E+00     0.1047E+00
   365    12    31  1991      57      57  cha57                0.4246E+01     0.0000E+00     0.4246E+01     0.2234E+01     0.9789E-05     0.3964E+03     0.4895E-05     0.4895E-05    -0.3844E+03     0.3844E+03     0.0000E+00     0.1194E+02     0.1941E+01     0.5690E+00     0.1854E-01     0.1796E+00     0.0000E+00     0.8229E-01
   365    12    31  1991      58      58  cha58                0.2175E+01     0.0000E+00     0.2175E+01     0.1144E+01     0.5007E-04     0.1115E+04     0.2503E-04     0.2503E-04    -0.1110E+04     0.1110E+04     0.0000E+00     0.4763E+01     0.1313E+01     0.7473E+00     0.3383E-01     0.2760E+00     0.0000E+00     0.6293E-01
   365    12    31  1991      59      59  cha59                0.2626E+01     0.0000E+00     0.2626E+01     0.1382E+01     0.1841E-03     0.3294E+03     0.9207E-04     0.9207E-04    -0.3240E+03     0.3240E+03     0.0000E+00     0.5392E+01     0.1455E+01     0.1624E+00     0.7344E-02     0.1601E-01     0.0000E+00     0.6007E-01
   365    12    31  1991      60      60  cha60                0.2585E+01     0.0000E+00     0.2585E+01     0.1360E+01     0.1673E-05     0.6904E+02     0.8367E-06     0.8367E-06    -0.6281E+02     0.6281E+02     0.0000E+00     0.6228E+01     0.1461E+01     0.4437E+00     0.1886E-01     0.1308E+00     0.0000E+00     0.6887E-01
   365    12    31  1991      61      61  cha61                0.1856E+01     0.0000E+00     0.1856E+01     0.9765E+00     0.7589E-05     0.2251E+03     0.3795E-05     0.3795E-05    -0.2212E+03     0.2212E+03     0.0000E+00     0.3869E+01     0.1207E+01     0.4782E+00     0.2531E-01     0.1663E+00     0.0000E+00     0.5887E-01
   365    12    31  1991      62      62  cha62                0.1565E+01     0.0000E+00     0.1564E+01     0.8230E+00     0.5148E-04     0.1169E+04     0.2574E-04     0.2574E-04    -0.1166E+04     0.1166E+04     0.0000E+00     0.2947E+01     0.1083E+01     0.7310E+00     0.3879E-01     0.2766E+00     0.0000E+00     0.5370E-01
   365    12    31  1991      63      63  cha63                0.7120E+00     0.0000E+00     0.7119E+00     0.3745E+00     0.1109E-04     0.2119E+02     0.5546E-05     0.5546E-05    -0.2017E+02     0.2017E+02     0.0000E+00     0.1028E+01     0.7061E+00     0.1511E+00     0.2141E-01     0.2822E-01     0.0000E+00     0.3820E-01
   365    12    31  1991      64      64  cha64                0.8773E+00     0.0000E+00     0.8772E+00     0.4615E+00     0.6688E-04     0.8085E+03     0.3344E-04     0.3344E-04    -0.8075E+03     0.8075E+03     0.0000E+00     0.1059E+01     0.7369E+00     0.8950E+00     0.5127E-01     0.3406E+00     0.0000E+00     0.3665E-01
   365    12    31  1991      65      65  cha65                0.3026E+01     0.0000E+00     0.3026E+01     0.1592E+01     0.4031E-05     0.6860E+01     0.2015E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6860E+01     0.1555E+01     0.1472E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.6841E-01
