 TX_LG_GULLY               SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday,   mon,   day,    yr,   unit , gis_id , name           ,      sedyld,     sedorgn,     sedorgp,     surqno3,     lat3no3,    surqsolp,        usle,      sedmin,     tileno3
      ,      ,      ,      ,        ,        ,                ,         tha,        kgha,        kgha,        kgha,        kgha,        kgha,        tons,        ----,        ----
210,7,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,7,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,7,30,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,7,31,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,8,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,8,2,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,8,3,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,8,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,8,5,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
219,8,6,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
220,8,7,1996,1,1,bench           ,0.112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
221,8,8,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
222,8,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
223,8,10,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,8,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
225,8,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
226,8,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
227,8,14,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
228,8,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
